3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
  112  F  24  15   9  -179.123213 -7.463467 0.097680  0  3.812056 0.131007  0 14.365137 0.219396  0 11.391478 0.110088  0 38.796976 0.305470  0
  113  F  25  16   9  -183.404895 -7.336196 0.096450  0  4.281682 0.194130  0 14.454534 0.261330  0  8.093738 0.129777  0 39.962973 0.517028  0
  114  F  26  17   9  -184.161485 -7.083134 0.111202  0  0.756590 0.207652  0 15.968439 0.276277  0  5.038272 0.208882  0 42.874996 0.519202  1
  115  F  27  18   9  -185.431409 -6.867830 0.389826  0  1.269924 0.501028  0 16.499060 0.554770  0  2.026514 0.486276  0 45.107920 0.889826  1
  116  F  28  19   9  -185.211421 -6.614694 0.393036  0 -0.219988 0.782862  0 18.218500 0.906036  1  1.049936 0.504238  0  0.000001 0.000001  0
  117  F  29  20   9  -186.874144 -6.443936 0.525364  0  1.662723 0.918400  0 19.212223 1.225364  1  1.442735 0.915190  0  0.000001 0.000001  0
  118  F  30  21   9  -186.987245 -6.232908 0.600000  1  0.113101 1.125364  1  0.000001 0.000001  0  1.775824 0.993036  1  0.000001 0.000001  0
  119  F  31  22   9  -187.020245 -6.032911 0.558000  1  0.033000 1.158000  2  0.000001 0.000001  0  0.146101 1.083364  1  0.000001 0.000001  0
  120 Ne  15   5  10   -73.027376 -4.868492 0.066690  0  0.000001 0.000001  0 -0.962781 0.107808  0  0.000001 0.000001  0 -2.523464 0.076219  0
  121 Ne  16   6  10   -97.327288 -6.082955 0.020480  0 24.299912 0.087170  0 -0.131842 0.034475  0  0.000001 0.000001  0 -1.402525 0.020508  0
  122 Ne  17   7  10  -112.884939 -6.640291 0.000357  0 15.557651 0.020837  0  1.467998 0.008677  0 39.857563 0.067047  0  0.931638 0.000852  0
  123 Ne  18   8  10  -132.139082 -7.341060 0.000360  0 19.254143 0.000717  0  3.922261 0.000615  0 34.811794 0.020840  0  4.521865 0.000360  0
  124 Ne  19   9  10  -143.775973 -7.567156 0.000152  0 11.636891 0.000512  0  6.409244 0.000620  0 30.891034 0.000509  0 12.015676 0.000152  0
  125 Ne  20  10  10  -160.641256 -8.032063 0.000001  0 16.865283 0.000152  0 12.842669 0.000001  0 28.502174 0.000360  0 20.835589 0.000001  0
  126 Ne  21  11  10  -167.402429 -7.971544 0.000042  0  6.761173 0.000042  0 13.002504 0.000082  0 23.626456 0.000194  0 23.641103 0.002683  0
  127 Ne  22  12  10  -177.766686 -8.080304 0.000022  0 10.364257 0.000064  0 15.265288 0.001828  0 17.125430 0.000022  0 26.397365 0.000902  0
  128 Ne  23  13  10  -182.967344 -7.955102 0.000115  0  5.200658 0.000137  0 15.235609 0.012523  0 15.564915 0.000157  0 27.792569 0.012106  0
  129 Ne  24  14  10  -191.836256 -7.993177 0.000504  0  8.868912 0.000619  0 16.525099 0.033831  0 14.069570 0.000526  0 29.811173 0.057418  0
  130 Ne  25  15  10  -195.991431 -7.839657 0.029050  0  4.155175 0.029554  0 16.868218 0.126730  0 13.024087 0.029165  0 31.233355 0.150766  0
  131 Ne  26  16  10  -201.546116 -7.751774 0.018434  0  5.554685 0.047484  0 18.141221 0.114884  0  9.709860 0.018938  0 32.595755 0.183314  0
  132 Ne  27  17  10  -203.047634 -7.520283 0.090774  0  1.501518 0.109208  0 18.886149 0.201976  0  7.056203 0.119824  0 34.854588 0.255849  0
  133 Ne  28  18  10  -206.870144 -7.388219 0.126056  0  3.822510 0.216830  0 21.438735 0.515882  0  5.324028 0.144490  0 37.937795 0.291000  0
  134 Ne  29  19  10  -207.841399 -7.166945 0.149495  0  0.971255 0.275551  0 22.629978 0.542531  0  4.793765 0.240269  0 40.848478 0.662495  1
  135 Ne  30  20  10  -211.032386 -7.034413 0.253260  0  3.190987 0.402755  0 24.158242 0.778624  0  4.162242 0.379316  0 43.370465 0.953260  1
  136 Ne  31  21  10  -211.202246 -6.812976 0.266197  0  0.169860 0.519457  0 24.215001 0.866197  1  3.360847 0.415692  0  0.000001 0.000001  0
  137 Ne  32  22  10  -213.468456 -6.670889 0.512000  1  2.266210 0.778197  1 26.448211 1.070000  2  2.436070 0.765260  1  0.000001 0.000001  0
  138 Ne  33  23  10  -212.516456 -6.439893 0.594000  1 -0.952000 1.106000  2  0.000001 0.000001  0  1.314210 0.860197  1  0.000001 0.000001  0
  139 Ne  34  24  10  -213.754456 -6.286896 0.510000  1  1.238000 1.104000  2  0.000001 0.000001  0  0.286000 1.022000  2  0.000001 0.000001  0
  140 Na  17   6  11   -93.428909 -5.495818 1.001351  0  0.000001 0.000001  0 -3.898379 1.021831  0  0.000001 0.000001  0 -4.030221 1.015346  0
  141 Na  18   7  11  -111.635455 -6.201970 0.093888  0 18.206546 1.095239  0 -1.249484 0.094245  0  0.000001 0.000001  0  0.218514 0.102208  0
  142 Na  19   8  11  -131.815364 -6.937651 0.010526  0 20.179909 0.104414  0 -0.323718 0.010886  0 38.386455 1.011877  0  3.598543 0.010781  0
  143 Na  20   9  11  -145.965469 -7.298273 0.001120  0 14.150105 0.011646  0  2.189496 0.001272  0 34.330014 0.095008  0  8.598740 0.001588  0
  144 Na  21  10  11  -163.072036 -7.765335 0.000105  0 17.106567 0.001225  0  2.430780 0.000105  0 31.256672 0.010631  0 15.273449 0.000105  0
  145 Na  22  11  11  -174.140223 -7.915465 0.000176  0 11.068187 0.000281  0  6.737794 0.000218  0 28.174754 0.001296  0 19.740298 0.000216  0
  146 Na  23  12  11  -186.559888 -8.111299 0.000001  0 12.419665 0.000176  0  8.793202 0.000022  0 23.487852 0.000105  0 24.058490 0.001806  0
  147 Na  24  13  11  -193.519261 -8.063303 0.000024  0  6.959373 0.000024  0 10.551917 0.000139  0 19.379038 0.000200  0 25.787526 0.012432  0
  148 Na  25  14  11  -202.530474 -8.101219 0.001200  0  9.011213 0.001224  0 10.694218 0.001704  0 15.970586 0.001200  0 27.219317 0.034527  0
  149 Na  26  15  11  -208.104775 -8.004030 0.003510  0  5.574301 0.004710  0 12.113344 0.032560  0 14.585514 0.003534  0 28.981562 0.101190  0
  150 Na  27  16  11  -214.833091 -7.956781 0.003726  0  6.728316 0.007236  0 13.286975 0.022160  0 12.302617 0.004926  0 31.428196 0.100176  0
  151 Na  28  17  11  -218.374941 -7.799105 0.010248  0  3.541850 0.013974  0 15.327307 0.101022  0 10.270166 0.013758  0 34.213456 0.121450  0
  152 Na  29  18  11  -222.777928 -7.681998 0.007337  0  4.402987 0.017585  0 15.907784 0.133393  0  7.944837 0.011063  0 37.346519 0.397163  0
  153 Na  30  19  11  -225.054589 -7.501820 0.004740  0  2.276661 0.012077  0 17.213190 0.154235  0  6.679648 0.014988  0 39.843168 0.397776  0
  154 Na  31  20  11  -229.354536 -7.398533 0.013981  0  4.299947 0.018721  0 18.322150 0.267241  0  6.576608 0.021318  0 42.480392 0.539345  0
  155 Na  32  21  11  -231.031741 -7.219742 0.037248  0  1.677205 0.051229  0 19.829495 0.303445  0  5.977152 0.041988  0 44.044496 0.637248  1
  156 Na  33  22  11  -233.963107 -7.089791 0.449922  0  2.931366 0.487170  0 20.494651 0.961922  1  4.608571 0.463903  0 46.942862 1.007922  1
  157 Na  34  23  11  -234.134407 -6.886306 0.599420  0  0.171300 1.049342  0 21.617951 1.193420  1  3.102666 0.636668  0  0.000001 0.000001  0
  158 Na  35  24  11  -235.650549 -6.732873 0.665000  1  1.516142 1.264420  1 21.896093 1.175000  2  1.687442 1.114922  1  0.000001 0.000001  0
  159 Na  36  25  11  -235.651549 -6.545876 0.684000  1  0.001000 1.349000  2  0.000001 0.000001  0  1.517142 1.283420  1  0.000001 0.000001  0
  160 Na  37  26  11  -236.499549 -6.391880 0.703000  1  0.848000 1.387000  2  0.000001 0.000001  0  0.849000 1.368000  2  0.000001 0.000001  0
  161 Mg  19   7  12  -112.132994 -5.901737 0.050008  0  0.000001 0.000001  0  0.497540 0.143896  0  0.000001 0.000001  0 -0.751944 0.050365  0
  162 Mg  20   8  12  -134.555019 -6.727751 0.001860  0 22.422025 0.051868  0  2.739656 0.012386  0  0.000001 0.000001  0  2.415938 0.002220  0
  163 Mg  21   9  12  -149.200170 -7.104770 0.000756  0 14.645151 0.002616  0  3.234702 0.001876  0 37.067176 0.050764  0  5.424198 0.000908  0
  164 Mg  22  10  12  -168.575261 -7.662512 0.000308  0 19.375091 0.001064  0  5.503226 0.000413  0 34.020242 0.002168  0  7.934006 0.000308  0
  165 Mg  23  11  12  -181.720164 -7.900877 0.000161  0 13.144903 0.000469  0  7.579942 0.000337  0 32.519994 0.000917  0 14.317736 0.000203  0
  166 Mg  24  12  12  -198.251535 -8.260481 0.000024  0 16.531371 0.000185  0 11.691648 0.000024  0 29.676274 0.000332  0 20.484850 0.000046  0
  167 Mg  25  13  12  -205.582069 -8.223283 0.000050  0  7.330534 0.000074  0 12.062809 0.000074  0 23.861905 0.000211  0 22.614726 0.000165  0
